
# NJ -- clickwrapped. Get manually at www.njtransit.com/developer
# PA -- SEPTA has weak clickwrap, grab feeds http://www2.septa.org/developer/
# WARNING SEPTA feed contains two other zipped GTFS feeds, and must be unzipped.

# Amtrak -- feed on GTFS data exchange obtained through FOIA
Amtrak 2014,http://gtfs.s3.amazonaws.com/amtrak_20140723_0354.zip

# RI -- Only one direct link, from GTFS Data Exchange
RI RIPTA,http://www.ripta.com/googledata/current/google_transit.zip

# MA -- scraped from http://www.massdot.state.ma.us/developersdata.aspx
MA MBTA Boston,http://mbta.com/uploadedfiles/MBTA_GTFS.zip
MA Berkshire RTA GTFS files,http://www.massdot.state.ma.us/Portals/0/docs/developers/brta_google_transit.zip
MA Brockton Area Transit Authority RTA GTFS files,http://www.massdot.state.ma.us/Portals/0/docs/developers/bat_google_transit.zip
MA Cape Ann RTA GTFS files,http://www.massdot.state.ma.us/Portals/0/docs/developers/cata_google_transit.zip
MA Cape Cod RTA GTFS files,http://www.massdot.state.ma.us/Portals/0/docs/developers/ccrta_google_transit.zip
MA Franklin RTA GTFS files,http://www.massdot.state.ma.us/Portals/0/docs/developers/frta_google_transit.zip
MA Greater Attleboro Taunton Regional Transit (GATRA),http://www.massdot.state.ma.us/Portals/0/docs/developers/gatra_google_transit.zip
MA Lowell RTA GTFS files,http://www.massdot.state.ma.us/Portals/0/docs/developers/lrta_google_transit.zip
MA Merrimack Valley RTA GTFS files,http://www.massdot.state.ma.us/Portals/0/docs/developers/mvrta_google_transit.zip
MA Metrowest RTA GTFS files,http://www.massdot.state.ma.us/Portals/0/docs/developers/mwrta_google_transit.zip
MA Montachusett RTA GTFS files,http://www.massdot.state.ma.us/Portals/0/docs/developers/mart_google_transit.zip
MA Nantucket RTA GTFS files,http://www.massdot.state.ma.us/Portals/0/docs/developers/nrta_google_transit.zip
MA Pioneer Valley RTA GTFS files,http://www.pvta.com/g_trans/google_transit.zip
MA Southeastern RTA GTFS files,http://www.massdot.state.ma.us/Portals/0/docs/developers/srta_google_transit.zip
MA Vineyard Transit Authority GTFS files,http://www.massdot.state.ma.us/Portals/0/docs/developers/vta_google_transit.zip
MA Worcester RTA GTFS files,http://www.massdot.state.ma.us/Portals/0/docs/developers/wrta_google_transit.zip
MA Massachusetts Cape Island Commuter Ferry,http://www.massdot.state.ma.us/Portals/0/docs/developers/ferries_google_transit.zip
MA Bloom Tours,http://www.massdot.state.ma.us/Portals/0/docs/developers/Bloom_google_transit.zip
MA Coach Bus Lines,http://www.massdot.state.ma.us/Portals/0/docs/developers/coach_google_transit.zip
MA DATTCO Motorcoach,http://www.massdot.state.ma.us/Portals/0/docs/developers/dattco_google_transit.zip
MA Peter Pan,http://www.massdot.state.ma.us/Portals/0/docs/developers/peter_pan_google_transit.zip
MA Plymouth & Brockton Street Railway Co,http://www.massdot.state.ma.us/Portals/0/docs/developers/PB_google_transit.zip
